TYPE,ST,STNAME,COUNTY,Total households (2014-2018),Renter households (2014-2018),%_renters, County Name ,FIPS_suf
COUNTY,TX,Texas,Sutton County,"1,484",485,33, Sutton ,435
COUNTY,TX,Texas,Swisher County,"2,514",727,29, Swisher ,437
COUNTY,TX,Texas,Tarrant County,"698,995","276,285",40, Tarrant ,439
COUNTY,TX,Texas,Taylor County,"49,482","20,465",41, Taylor ,441
COUNTY,TX,Texas,Terrell County †,396,65,16, Terrell ,443
COUNTY,TX,Texas,Terry County,"4,041","1,264",31, Terry ,445
COUNTY,TX,Texas,Throckmorton County,703,205,29, Throckmorton ,447
COUNTY,TX,Texas,Titus County,"10,694","3,610",34, Titus ,449
COUNTY,TX,Texas,Tom Green County,"43,131","16,170",37, Tom Green ,451
COUNTY,TX,Texas,Travis County,"458,484","219,276",48, Travis ,453
COUNTY,TX,Texas,Trinity County,"5,918","1,228",21, Trinity ,455
COUNTY,TX,Texas,Tyler County,"7,020","1,030",15, Tyler ,457
COUNTY,TX,Texas,Upshur County,"14,036","3,074",22, Upshur ,459
COUNTY,TX,Texas,Upton County,"1,305",353,27, Upton ,461
COUNTY,TX,Texas,Uvalde County,"8,683","2,260",26, Uvalde ,463
COUNTY,TX,Texas,Val Verde County,"15,429","5,716",37, Val Verde ,465
COUNTY,TX,Texas,Van Zandt County,"19,615","4,467",23, Van Zandt ,467
COUNTY,TX,Texas,Victoria County,"32,544","11,113",34, Victoria ,469
COUNTY,TX,Texas,Walker County,"21,636","10,565",49, Walker ,471
COUNTY,TX,Texas,Waller County,"14,807","4,791",32, Waller ,473
COUNTY,TX,Texas,Ward County,"3,956","1,147",29, Ward ,475
COUNTY,TX,Texas,Washington County,"12,381","3,199",26, Washington ,477
COUNTY,TX,Texas,Webb County,"73,659","27,642",38, Webb ,479
COUNTY,TX,Texas,Wharton County,"15,256","5,036",33, Wharton ,481
COUNTY,TX,Texas,Wheeler County,"2,254",839,37, Wheeler ,483
COUNTY,TX,Texas,Wichita County,"47,951","18,667",39, Wichita ,485
COUNTY,TX,Texas,Wilbarger County,"5,263","1,962",37, Wilbarger ,487
COUNTY,TX,Texas,Willacy County,"5,810","1,465",25, Willacy ,489
COUNTY,TX,Texas,Williamson County,"174,754","54,532",31, Williamson ,491
COUNTY,TX,Texas,Wilson County,"15,820","2,724",17, Wilson ,493
COUNTY,TX,Texas,Winkler County,"2,572",473,18, Winkler ,495
COUNTY,TX,Texas,Wise County,"22,080","5,098",23, Wise ,497
COUNTY,TX,Texas,Wood County,"16,531","3,310",20, Wood ,499
COUNTY,TX,Texas,Yoakum County,"2,676",555,21, Yoakum ,501
COUNTY,TX,Texas,Young County,"7,105","1,558",22, Young ,503
COUNTY,TX,Texas,Zapata County,"4,405","1,302",30, Zapata ,505
COUNTY,TX,Texas,Zavala County,"3,509","1,031",29, Zavala ,507
